Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,Return,Lagged_Return
2014-02-24,9752.0,9789.0,9740.0,9757.0,2.0,9757.0,90654.0,203114.0,0.020502306509473378,-0.2046035805626567
2014-02-25,9760.0,9808.0,9744.0,9789.0,32.0,9789.0,105498.0,201486.0,0.32796966280619344,0.020502306509473378
2014-02-26,9784.0,9795.0,9746.0,9760.0,29.0,9760.0,118559.0,200105.0,-0.2962508938604502,0.32796966280619344
2014-02-27,9769.0,9831.0,9762.0,9798.0,38.0,9798.0,160638.0,201246.0,0.38934426229508823,-0.2962508938604502
2014-02-28,9787.0,9848.0,9776.0,9825.0,27.0,9825.0,169374.0,200184.0,0.27556644213104775,0.38934426229508823
2014-03-03,9840.0,9882.0,9840.0,9857.0,34.0,9859.0,149003.0,197621.0,0.3460559796437668,0.27556644213104775
2014-03-04,9859.0,9862.0,9776.0,9785.0,79.0,9780.0,137014.0,196097.0,-0.8012983061162382,0.3460559796437668
2014-03-06,9771.0,9773.0,9692.0,9705.0,69.0,9705.0,172188.0,199340.0,-0.7668711656441674,-0.8012983061162382
2014-03-07,9702.0,9724.0,9637.0,9681.0,24.0,9681.0,156252.0,201541.0,-0.24729520865532928,-0.7668711656441674
2014-03-10,9694.0,9714.0,9671.0,9691.0,10.0,9691.0,117210.0,195505.0,0.10329511414111092,-0.24729520865532928
2014-03-11,9684.0,9724.0,9668.0,9718.0,27.0,9718.0,151075.0,181240.0,0.27860901867713395,0.10329511414111092
2014-03-12,9710.0,9752.0,9700.0,9739.0,21.0,9739.0,179062.0,163758.0,0.21609384647047758,0.27860901867713395
2014-03-13,9732.0,9849.0,9722.0,9839.0,100.0,9839.0,244724.0,127511.0,1.0267994660642765,0.21609384647047758
2014-03-14,9817.0,9881.0,9815.0,9866.0,36.0,9875.0,71695.0,90408.0,0.36589084256530846,1.0267994660642765
2014-03-17,9867.0,9878.0,9821.0,9842.0,44.0,9835.0,106634.0,158315.0,-0.40506329113924044,0.36589084256530846
2014-03-18,9828.0,9881.0,9814.0,9855.0,20.0,9855.0,130504.0,156809.0,0.20335536349771477,-0.40506329113924044
2014-03-19,9863.0,9877.0,9742.0,9785.0,94.0,9761.0,144169.0,156642.0,-0.9538305428716365,0.20335536349771477
2014-03-20,9769.0,9788.0,9756.0,9764.0,3.0,9764.0,112740.0,155889.0,0.030734555885669756,-0.9538305428716365
2014-03-21,9768.0,9807.0,9767.0,9787.0,23.0,9787.0,78866.0,157860.0,0.23555919705038342,0.030734555885669756
2014-03-24,9785.0,9796.0,9746.0,9785.0,2.0,9785.0,114231.0,156638.0,-0.02043527127822964,0.23555919705038342
2014-03-25,9787.0,9799.0,9760.0,9783.0,2.0,9783.0,98773.0,159644.0,-0.020439448134901284,-0.02043527127822964
2014-03-26,9783.0,9816.0,9750.0,9803.0,19.0,9802.0,103659.0,157853.0,0.19421445364407042,-0.020439448134901284
2014-03-27,9803.0,9836.0,9766.0,9791.0,11.0,9791.0,139488.0,158635.0,-0.11222199551111922,0.19421445364407042
2014-03-28,9787.0,9805.0,9714.0,9731.0,60.0,9731.0,133863.0,157742.0,-0.612807680522931,-0.11222199551111922
2014-03-31,9725.0,9732.0,9671.0,9714.0,39.0,9692.0,133280.0,170203.0,-0.4007810091460229,-0.612807680522931
2014-04-01,9690.0,9704.0,9643.0,9669.0,46.0,9646.0,102717.0,180690.0,-0.4746182418489453,-0.4007810091460229
2014-04-02,9648.0,9657.0,9624.0,9640.0,6.0,9640.0,91037.0,187943.0,-0.06220194899440035,-0.4746182418489453
2014-04-03,9630.0,9637.0,9598.0,9626.0,14.0,9626.0,101077.0,194397.0,-0.14522821576763434,-0.06220194899440035
2014-04-04,9625.0,9694.0,9600.0,9683.0,63.0,9689.0,141081.0,197772.0,0.6544774568876033,-0.14522821576763434
2014-04-07,9681.0,9713.0,9675.0,9700.0,11.0,9700.0,100566.0,198941.0,0.11353080813294447,0.6544774568876033
2014-04-08,9706.0,9852.0,9701.0,9840.0,142.0,9842.0,205287.0,194176.0,1.4639175257731951,0.11353080813294447
